"Step","rstarcoder_sweep_routed_mlp_30 - eval/router/index_hist"
"0","{""_type"":""histogram"",""values"":[0,0,0,0,271,310,111,348,30,509,49,299,64,7,10,96,106,205,443,42,39,1193,104,30,2223,63,263,9,996,562,353,187,38,1529,154,633],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"10","{""_type"":""histogram"",""values"":[0,0,0,0,667,357,57,628,15,484,264,96,196,9,9,386,49,240,251,12,15,839,547,14,2437,20,69,37,155,286,318,88,19,1402,158,1152],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"20","{""_type"":""histogram"",""values"":[0,0,0,0,1051,187,169,496,9,564,471,164,33,7,7,476,25,226,438,11,32,780,720,12,2780,15,20,123,55,296,407,31,45,239,43,1344],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"30","{""_type"":""histogram"",""values"":[0,0,0,0,1350,105,294,147,5,151,176,252,7,4,9,889,15,128,394,16,18,1117,563,9,2812,26,8,176,105,359,378,8,36,8,13,1694],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"40","{""_type"":""histogram"",""values"":[0,0,0,0,1758,66,267,69,6,104,112,261,6,4,10,961,19,77,361,13,14,1212,220,7,2808,29,3,166,166,408,261,6,34,2,10,1713],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"50","{""_type"":""histogram"",""values"":[0,0,0,0,904,68,264,60,6,80,97,221,4,6,11,818,17,70,189,10,12,1207,176,13,2810,34,1,133,150,510,100,6,24,1,8,1521],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"60","{""_type"":""histogram"",""values"":[0,0,0,0,653,51,226,37,6,75,78,190,3,5,16,660,13,47,110,6,14,1087,113,12,2810,11,1,76,133,675,46,5,16,1,7,1358],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"70","{""_type"":""histogram"",""values"":[0,0,0,0,505,48,213,34,8,81,71,179,3,5,15,555,12,47,96,10,14,1061,82,14,2810,10,1,60,137,784,41,6,12,1,8,1192],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"80","{""_type"":""histogram"",""values"":[0,0,0,0,491,33,198,35,8,82,64,164,3,6,16,635,5,42,80,11,14,1051,50,12,2810,9,2,85,122,711,35,6,13,2,8,1149],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"90","{""values"":[0,0,0,0,461,29,202,35,5,77,75,159,3,9,16,666,5,43,73,11,16,1033,50,10,2810,9,1,105,119,674,38,7,14,1,8,1103],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"100","{""_type"":""histogram"",""values"":[0,0,0,0,397,26,209,20,5,77,60,144,4,6,17,603,4,44,105,10,15,944,47,7,2810,9,1,40,109,516,24,6,11,1,6,952],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
