"Step","rstarcoder_sweep_routed_mlp_lblb_33_rerun - eval/router/index_hist"
"0","{""values"":[0,0,0,0,271,310,111,348,30,509,49,299,64,7,10,96,106,205,443,42,39,1193,104,30,2223,63,263,9,996,562,353,187,38,1529,154,633],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"10","{""_type"":""histogram"",""values"":[0,0,0,0,142,721,139,212,93,83,368,225,96,27,53,373,100,1255,1219,45,80,812,99,303,0,334,75,523,1398,188,380,93,297,1018,89,436],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"20","{""_type"":""histogram"",""values"":[0,0,0,0,125,672,305,148,149,73,847,69,19,151,99,210,59,14,1585,44,145,18,25,225,0,1043,15,11,2364,242,290,12,150,1759,28,380],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"30","{""_type"":""histogram"",""values"":[0,0,0,0,125,74,61,142,57,39,1534,102,9,237,91,66,4,6,1559,10,125,2,20,295,0,829,6,3,2579,176,102,2,453,2538,17,13],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"40","{""_type"":""histogram"",""values"":[0,0,0,0,35,56,42,68,362,19,2493,229,12,7,25,76,4,5,1650,3,97,3,8,1493,0,10,13,2,1078,81,136,2,456,2780,30,1],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"50","{""_type"":""histogram"",""values"":[0,0,0,0,26,61,19,48,1115,11,2772,57,10,2,39,264,2,5,360,2,50,2,4,1267,0,2,8,4,2118,16,130,2,15,2808,56,1],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"60","{""values"":[0,0,0,0,16,480,23,3,25,22,96,290,37,47,471,396,4,17,73,5,7,10,120,2331,0,1,18,4,2690,11,105,3,2,2810,1157,2],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"70","{""_type"":""histogram"",""values"":[0,0,0,0,11,746,14,1,3,14,1,151,29,77,116,13,2,14,34,7,6,4,113,2511,0,1,4,13,2685,15,165,2,0,2816,1704,4],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"80","{""_type"":""histogram"",""values"":[0,0,0,0,201,989,86,1,6,13,0,227,247,272,1249,47,3,160,67,93,5,5,347,2366,0,1,7,408,0,20,892,2,0,2817,738,7],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"90","{""_type"":""histogram"",""values"":[0,0,0,0,443,159,64,1,9,1,0,121,192,96,2329,29,2,165,25,59,4,4,245,1444,0,3,5,587,0,11,2128,1,0,2817,331,1],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
