"Step","rstarcoder_sweep_routed_mlp_zloss_5 - eval/router/index_hist"
"0","{""_type"":""histogram"",""values"":[0,0,0,0,271,310,111,348,30,509,49,299,64,7,10,96,106,205,443,42,39,1193,104,30,2223,63,263,9,996,562,353,187,38,1529,154,633],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"10","{""values"":[0,0,0,0,565,509,51,806,14,203,29,132,205,6,7,472,48,231,649,14,15,935,677,16,2544,18,87,17,118,294,377,99,11,920,206,1001],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"20","{""_type"":""histogram"",""values"":[0,0,0,0,654,477,78,686,9,97,35,142,21,13,8,474,21,176,1052,14,30,1072,676,22,2776,19,63,110,27,246,443,23,34,408,110,1260],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"30","{""values"":[0,0,0,0,870,216,81,73,6,49,28,167,7,14,8,1255,12,104,1288,17,16,1069,259,25,2811,8,17,227,56,242,498,8,34,254,50,1507],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"40","{""_type"":""histogram"",""values"":[0,0,0,0,830,174,85,26,4,36,36,198,4,21,7,1509,15,93,1242,13,11,1072,69,29,2814,5,14,254,109,246,486,4,29,256,44,1541],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"50","{""_type"":""histogram"",""values"":[0,0,0,0,486,231,93,23,5,33,58,233,4,41,7,1586,12,145,681,12,14,1180,36,41,2812,4,9,329,158,290,504,3,32,298,70,1846],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"60","{""_type"":""histogram"",""values"":[0,0,0,0,395,229,92,34,5,35,58,217,5,19,7,1435,10,163,724,11,12,1222,8,62,2811,4,9,336,164,329,525,4,27,371,100,1853],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"70","{""_type"":""histogram"",""values"":[0,0,0,0,369,238,84,40,9,45,61,176,8,6,7,1071,9,285,897,8,11,1307,14,61,2810,5,3,353,137,323,536,7,26,472,115,1783],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"80","{""_type"":""histogram"",""values"":[0,0,0,0,337,226,77,47,8,47,54,150,8,4,7,855,9,341,1044,10,11,1337,48,50,2810,6,3,403,116,245,554,14,23,584,123,1725],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"90","{""_type"":""histogram"",""values"":[0,0,0,0,287,268,92,64,10,45,65,155,7,2,7,559,10,398,934,12,7,983,107,58,2809,5,2,410,126,444,587,17,28,709,108,1961],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"100","{""_type"":""histogram"",""values"":[0,0,0,0,244,361,108,78,14,39,77,162,10,4,8,770,10,127,909,16,8,385,245,57,2809,6,2,342,147,927,591,15,23,881,86,1815],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"110","{""_type"":""histogram"",""values"":[0,0,0,0,248,915,174,157,14,31,215,176,11,4,10,384,19,40,237,19,6,282,353,65,2809,7,3,391,98,629,750,12,21,974,70,2152],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"120","{""_type"":""histogram"",""values"":[0,0,0,0,214,1131,297,184,14,30,334,209,9,3,12,114,28,30,111,20,7,204,341,71,2813,10,5,386,102,447,784,14,17,1020,63,2252],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"130","{""_type"":""histogram"",""values"":[0,0,0,0,295,1138,193,232,15,33,356,204,13,4,16,38,39,40,95,16,10,166,405,81,2808,8,3,426,95,355,808,16,14,1089,25,2240],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"140","{""values"":[0,0,0,0,376,1053,18,286,13,34,422,172,18,4,14,59,42,50,81,13,14,162,446,78,2806,8,6,490,85,317,775,23,14,1164,20,2213],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"150","{""values"":[0,0,0,0,417,966,4,385,14,40,565,208,19,4,11,108,52,80,88,12,14,211,449,59,2807,9,7,428,43,324,494,18,14,1235,17,2174],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"160","{""values"":[0,0,0,0,388,926,1,404,15,40,832,235,14,9,11,57,63,88,30,15,9,215,501,69,2807,10,4,430,18,246,357,12,7,1124,17,2322],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"170","{""_type"":""histogram"",""values"":[0,0,0,0,355,845,2,386,17,40,1001,256,12,15,9,17,55,89,13,15,9,298,526,76,2809,12,5,401,15,195,318,14,6,1063,22,2378],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
