"Step","rstarcoder_sweep_routed_mlp_scaling_2 - eval/router/index_hist"
"0","{""_type"":""histogram"",""values"":[0,0,0,0,271,310,111,348,30,509,49,299,64,7,10,96,106,205,443,42,39,1193,104,30,2223,63,263,9,996,562,353,187,38,1529,154,633],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"10","{""_type"":""histogram"",""values"":[0,0,0,0,395,782,47,1216,18,127,37,133,256,4,8,394,129,166,359,29,12,890,725,17,2637,29,48,2,241,302,452,95,4,897,131,694],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"20","{""_type"":""histogram"",""values"":[0,0,0,0,712,464,149,648,15,54,35,77,121,8,7,366,33,403,312,22,37,959,758,22,2757,16,26,4,119,660,962,140,32,655,29,674],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"30","{""_type"":""histogram"",""values"":[0,0,0,0,1406,127,996,39,10,4,11,146,28,10,8,274,6,274,80,25,19,809,419,31,2816,8,2,20,55,775,1672,111,69,135,10,867],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"40","{""_type"":""histogram"",""values"":[0,0,0,0,967,67,1080,24,9,1,5,160,10,7,6,128,3,188,60,32,7,688,71,28,2813,3,1,6,17,633,1453,89,50,26,5,697],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"50","{""_type"":""histogram"",""values"":[0,0,0,0,629,38,599,21,8,1,5,84,9,7,5,39,5,75,30,40,9,265,37,29,2812,2,1,4,10,328,826,56,30,13,2,432],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"60","{""_type"":""histogram"",""values"":[0,0,0,0,644,20,420,24,9,0,4,43,9,6,6,31,3,50,20,26,10,151,24,31,2811,1,1,3,9,246,632,41,22,12,1,336],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"70","{""_type"":""histogram"",""values"":[0,0,0,0,580,17,319,27,8,0,3,39,9,3,8,29,5,51,20,27,12,127,19,24,2811,1,0,2,8,216,529,37,22,13,1,266],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"80","{""_type"":""histogram"",""values"":[0,0,0,0,541,16,289,26,10,0,4,28,7,2,13,27,4,49,13,29,8,123,18,23,2811,1,0,3,8,193,518,30,23,13,1,241],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"90","{""values"":[0,0,0,0,441,10,184,28,8,0,4,16,6,3,10,26,5,19,1,26,9,47,21,17,2811,1,0,3,2,94,288,26,15,5,1,153],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"100","{""_type"":""histogram"",""values"":[0,0,0,0,335,6,130,26,9,0,1,14,6,3,9,23,5,17,1,20,8,34,19,14,2812,1,0,3,1,69,173,21,14,1,1,115],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"110","{""_type"":""histogram"",""values"":[0,0,0,0,314,4,110,27,8,0,1,14,6,2,8,21,3,19,1,19,7,29,17,9,2812,0,0,2,0,77,158,18,15,1,1,107],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
