"Step","rstarcoder_sweep_routed_mlp_zloss_scaling_2 - eval/router/index_hist"
"0","{""values"":[0,0,0,0,271,310,111,348,30,509,49,299,64,7,10,96,106,205,443,42,39,1193,104,30,2223,63,263,9,996,562,353,187,38,1529,154,633],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"10","{""_type"":""histogram"",""values"":[0,0,0,0,298,506,54,645,29,169,34,129,226,4,10,511,99,247,466,32,17,1142,755,22,2507,26,36,3,367,314,428,97,17,1152,169,765],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"20","{""_type"":""histogram"",""values"":[0,0,0,0,474,751,107,583,42,92,39,72,130,11,11,260,203,141,630,26,34,1137,476,25,2473,13,21,3,99,393,910,53,25,875,51,1116],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"30","{""values"":[0,0,0,0,369,745,68,254,23,43,20,73,68,12,25,13,33,44,358,46,27,898,545,46,2781,35,5,7,35,536,1709,27,108,1134,24,1165],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"40","{""_type"":""histogram"",""values"":[0,0,0,0,308,688,40,195,28,52,29,91,71,14,16,17,24,46,337,20,38,1046,444,43,2776,77,10,8,39,390,1650,35,115,1557,18,1054],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"50","{""values"":[0,0,0,0,185,1585,12,354,42,70,46,177,72,18,24,61,30,92,292,14,32,916,723,75,2789,91,18,13,71,486,853,43,115,743,24,1210],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"60","{""_type"":""histogram"",""values"":[0,0,0,0,152,483,7,547,171,52,248,311,131,23,67,184,50,405,261,13,25,1070,204,106,2808,580,25,28,134,363,816,46,91,449,25,1401],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"70","{""_type"":""histogram"",""values"":[0,0,0,0,139,94,7,993,75,55,1084,425,48,14,159,129,95,1206,124,21,17,1016,70,127,2811,743,20,33,80,180,598,41,57,426,23,366],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"80","{""_type"":""histogram"",""values"":[0,0,0,0,142,82,8,1762,23,56,208,388,36,10,696,379,155,613,157,19,18,1030,64,126,2811,881,15,34,93,77,645,57,69,552,28,42],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"90","{""_type"":""histogram"",""values"":[0,0,0,0,129,86,36,74,21,43,278,334,131,101,885,672,820,917,424,18,20,442,111,128,2810,60,11,240,129,97,794,130,232,821,274,8],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"100","{""_type"":""histogram"",""values"":[0,0,0,0,119,180,46,19,21,43,415,479,337,767,1852,608,138,499,678,118,12,277,16,65,2811,15,12,10,167,157,295,207,523,222,161,7],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"110","{""_type"":""histogram"",""values"":[0,0,0,0,153,383,118,19,34,36,167,106,601,1992,35,388,45,1069,445,169,11,377,5,53,2811,14,11,3,1090,333,120,220,324,60,76,8],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"120","{""_type"":""histogram"",""values"":[0,0,0,0,154,569,214,42,48,27,2,21,941,305,7,195,24,1986,30,122,11,464,6,56,2812,17,13,1,2530,285,100,167,56,41,17,13],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"130","{""_type"":""histogram"",""values"":[0,0,0,0,162,817,767,74,129,28,1,18,2337,90,6,278,46,141,14,161,14,1243,8,67,2811,29,17,1,1350,279,170,123,25,42,18,10],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"140","{""_type"":""histogram"",""values"":[0,0,0,0,145,544,386,219,429,36,1,18,1827,75,8,100,71,1,9,171,30,1996,7,104,2812,71,30,3,1373,315,356,37,21,45,25,11],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"150","{""_type"":""histogram"",""values"":[0,0,0,0,127,126,28,1063,513,104,1,20,15,81,9,70,63,0,9,61,107,2547,6,139,2811,24,88,4,2315,119,699,35,10,48,22,12],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"160","{""_type"":""histogram"",""values"":[0,0,0,0,624,45,4,2067,22,13,1,18,0,21,8,23,18,0,9,19,37,2663,5,117,2811,1,261,2,1058,1,1351,20,7,25,10,15],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"170","{""_type"":""histogram"",""values"":[0,0,0,0,2314,44,4,2475,22,11,1,16,1,23,7,53,12,0,20,22,37,508,7,176,2810,1,568,5,168,2,1875,28,10,27,16,13],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"180","{""_type"":""histogram"",""values"":[0,0,0,0,340,144,14,2591,22,14,0,13,1,126,12,320,25,2,154,50,328,334,5,1130,2810,1,2282,13,235,1,73,68,34,49,67,18],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"190","{""_type"":""histogram"",""values"":[0,0,0,0,42,186,24,2456,22,19,0,11,1,176,14,244,37,1,256,59,549,70,17,1544,2810,1,2234,17,151,3,1,80,52,54,129,16],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"200","{""_type"":""histogram"",""values"":[0,0,0,0,39,25,89,482,42,65,6,28,1,266,36,73,86,3,1047,176,1138,205,36,80,2810,2,2634,129,584,3,2,128,232,201,599,29],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
